gov_scr,lo_comments,mc_comments,motion,mo_comments,opp_scr,pm_comments,debate,file_path
"84
و؟","Gov'is response to  secretany objection
Even if there are now joke created ,

would
why this _ they be ‘tilled ~— by workers

wt obsolete s k.116? Mare reppriniom
is idea "" Aim .

to Gov's attacks

of Mo's points Than

instend vo respond

on

at least
","rebuild & refuravion

between

phases,

Li they say , we say Strut vere
was reffective organization ;

refutation
Helpful reinteiring cak en's ponts ,
Good wenk — respone PAT .
ied pacing

time

minch profecsed
","THBST the
increase in lesace
of AT has
a net
benefit.","Heromonic discaption & Creativity ,

(3) Al dependency - 01
Good
Good response to PO|
include ?
Negative case Snould
j oint
refutation of each major pol

O stered in _ their affirmative -
ur

affiimntivao rese
","78
ре","—4
LW

points but word some kit from 4
point specifically on net benefit -
"" Bather than bene fit, why _ think that
the benefits you identify in pt 2,a 3
will exceed the costs ? That's its own

» Quantitative base the1l was unclear

poat
Good Pol .
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page2\result.json
"08
83","Capability point Was @ very smart opening

want you to go More into the division
= possible social, political ramifcations
*Good point’ bringing up definitions !

Slow down * take time (filler words )

your
“ Good eye contact
YSIGNPOST more > label contentions with #s

- Reserve the last minute (approx. ) to restate

contentions , + explore the crux of the

aroaiiement
","w/ speaker + put down paper

SO om can use both hands to talk

1 take more time. to slow down’ and_ go into
rebuttal + make It organized ( you have time )
+ you don't need to take all POl's

SIGNPOST MORE !

- Good passionate delivery | - would love to

see pg use less filler words

¢ Great job addressing speaker !
","THBT the increase in usage of artificial
intelligence
in
the
work","good job  rebuttaling, it was all very

organized |! pointed. out major flaws

Slow down and take time to emphasize

your points (and careful of filler words)
mentioning scope was very smart + good

answering PO1— SIGNPOST move w/
rebuttals

job

Cont: 1 division, econ. V, true value

*GO MORE indepth into division (is a big.

issue !

)
","86
87","mM 4
your 3 contentions : efficiency , healthcare,

Speech more jobs

+ Good job restating contentions

‘Would love more introduction , pot the
issue jnto context

Big
dramatic

+ crux? When explaining contentions, its repetitive

¢ Make more eye contact cespecially w/
Speaker)

eBe more confident (use less filler words )
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page20\result.json
"80
79","Ted

agne
as for
is a

forgive

many apportunities
gov , case . Press ,
ever going forward or
One - shot He

opportunity

all debt 't not inet far
","i =
everal

key
time only
There
end but those

ideas .
ambiguous
deal

or some thing

were
many
were not .
well exploite
",forgive student loan debl,"Opposition

attack
to

them for whether

whether this for

rather

give

this

ness.,

lec

wo
","28
१८",". left
resentation
The P S
was it a one
such as
ever -
. forward ier
going
™ your argum

vumerabilitie

6y = opr
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page21\result.json
"81
74","Great clash, great room
prefence and_ presentation .

Extremely clear logic

NO Pols given but took

Pols well
","Only used 3/8 mins ,

nervous and fidgety

didn't make any new

Points
",THBT the increase in the usage of artificial intelligence in,"work on sign posting ,

and use of time , great

point building

NO pois given
","98
+18","Great presence and
presentation , [lacked .

clear clash , no signposting

3A
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page22\result.json
"83
이","-8 min (3) Quality > Quantity

main,

point
-Defined net herefit ( citizens and
economy >
Contrallee by higher class ( strong >
-Diminishes college degree ( cannot

sympathize)

- Counter - active ; socal interations
",". 8 min (2)
e mistakes .

Dongeres jobs -*automated us huomen

Efficiency

Defense Economic

- strong. point ; not strictly replacing
","THBT
in
val
of A. I. in workforgs has a nyt brofi","strongest

Point

1) Take over people's jobs (lover class)

2) Limits human interaction (

3) Unable to interpret human emotion

Dvr =. Al Kirnwin tr mala mictakac |
","78
81","- 5 min (1st and last) “Safety
- Military

-3 min (1st and last ) -Cheuper

Fest , Accuate

- Modern -Day US connection _7 Defense

- very good

- Very clear w / rebental evidence.
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page23\result.json
"४५
77","TG ——_—_!

Ran Bna30B

S AgopaHy
At creating Pdt work

?Bu3yman = Ssawubl
","great questing !

PI : FARt Tech advancements =
Foot
Al noftraned enough to take over
just helpful resource
Productinity
beliuencs T in Job OPP Which
touch Upon pm Points Hauge
"" in work
keels employees ieshs

fare e
",AI has beperits,"im.
PI free time

AC prone to

error notgaud Al taking over Jobs

at fiting mistakes
Hard) work

mign't be overseen
Sous
worid
less Personal , lost work ;
being felient
Al not 100% correct on Al

looking at Sweet most. of time
","82
81","3min, 3 mn

fast & Peasing clarafiing

productivity uses ! >  geh

- more’ correction in work

- more oppurtunities

-eases vork makes employees more _ free
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page24\result.json
"1
2","+'Good

response
+ nice. walk through of examples ,

, — connect national
+ very good refurations » sce

to AL + didn't

arquement
debt q ref .
side govis

clear given

logic of why kids are more

cheat + teledance to work force
willing f°
","iF 4
+ Good ‘Pol during

~ Never say ‘opponents canno gosp how the

mo, +good — organization

Loks + Nice — builing from first
principles when aati oH + good hying
of more resources to gev. assistance

-Spend more time rebuilding your

arguement and slow.’ down , spend more

timme — going back le frame ~- less time
","समगाण माण
ज
डभाया न्यISHI","+ Built confidence throughout ,

mae clear in sign
- my _ being
is Al
posting > Why exactly
dain detremental ? Who
gathering
is the"" they 9g
imparts
+ analysis of

«good
","Ч
3
D","ee _

+ .
Great delivery and opening + Frame

- explain logic of how _ specifically.

Al will lead to less exploitation ,

+ good anticipation of counter argument

of examples

~_. time good ‘ef

. PMR - -Spend .
in going

back |e ""frame in PMR

more
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page25\result.json
"7
80","pay newointpasttime limit bigissue& theeasofionlastrighthere.

RHBDaycardsse goodvhy

RI/B_ Trucheativitjmdervalued weeeceannotedioingit

ARA- SchooAlicweeMatterSSetderecederandthalbitekiesack

Ploblenpkiyck
i r&treowledgensidfinal3mins
mes , Otwarlethic
LAl willma keiswerggecker
8:33 ""goodimpler

E “insideinins-takeawajobs docter
","1-4- jaleblb SO
ras Al fixthaRWavibsRemertuint
2ChallengefliscoversMtertus-haw | idoernotreatadwowledge

- ist PlasthatAl Wiltubeoveapbb
i thatis Al A®roductionas' tbe

Pol
eshutown
RB Humanganetecer

is Positi
aa resantigyeroncetildren that saregativebutn@etS? Nw

sattentiondheesolution 7:58

A -laukofrganizatiorrambly
",THBT the increase in usage of artitical intelligence in the work-foice has a not benetit,"RI-jablessbkyobiom (a1
23scientifersimpossible ob) -WalloScapewhyis

lossthinkirgeativt

R2,4,5-1 aloniem
v
A Plagiarism fuingersontailityovritel why isthatarobler
ACan'tK@epgressiing
why?

B Stitle€reativity AlinTikTok &Protiwhaonsent

to kretseativitghow | whyithata

Restate
oroblem
","чь
79","Intro Hisoryftumutacds9-5- thiseveckotiiertivéhelives

; a 13
1 Negconomy/lessumawork&eGithubefficines $

ppiness | |
Beer aireativéun Showoeghiworewtrmotiers

4Donicéhhaguickly Bmaldsboostacam§our

a waht alutace
5 Ahonantilewifeuthe 4 -Goodcarmes

RA -Ai wilbea partoyourareeP

G
crentivi feet

A Stumblyast
pmpnation (3:03)
Speakingxpan

in
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page26\result.json
"1
M
M
स
८","-Verygoodignposting

Goodpoint about how the cycle of student loan
Wl"" helpotherstudents

e exactdefinition of a loan

money
=Goodpoint abs th
Redetines the debate

-Extremelgood oganization in cmex

“Avoid saying studentloans lead tocarcerssuchas law, ...

not causation
","-digapart then no inteefutations
Wel j said
“Kone citing What side opp
good job pointingoutontradictiong$n opp'scase

Weltione  ectintpice showgontidence

Seed deliveryhrownoutspeech
1d Avoidstuttedinggt start

“Good point about Ww manypeoplewillbenefit! acope
","-THIL focaix
all student
love debt","Goo _. ;
Cdecision to ppen w/outline of speech

""Howis it tair to studentsvho'reprivindaiddebr""
would workedetteras

POI, bulvelyood
metorically ""

Goolash about the ., o@ducatiorand
Opportunity

high
'g paying jobs

“Less um'S at the stort mosimportaniart at

speech

text

es Baa
","4
2","-Goodconticence >-good'*tor'questions
1 Good brief signposting
very good legie aboutunequabocie@conomic

Perhaposlowownhtroducsomeausesntspeech
at times

AGO@Sntidencein tinakpeech
-Good crux, but avoid talking about
dili

Kk9goisae.g.libertyeed
3:49 Ode@recengy
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page27\result.json
"跟印
85","-good por to MC

- good response to ""New Ind. Rey""! point t

-good voice/ articlation

-increasing risk of AL dangers

b lack of — accuracy

-don't talk ab. lack of accessabity due to
priveledge

-good point of
made

patients POU

into a point
","—

to reinforce am
flaws to be

-Way

-relates AJ. pire

identical to have
flens

-arquement that Machine learning his dredy

been present

-not chean an_=earticulenting main points

-weak respinse

-dict the only took 1/5 PO71
","THBT the increase in usage of A.I in the workforce hers
9","shouldre lack of human convectien

refuted
-lack of creatity ,( et)
were

- not personalized (in classroom )
-Al_ have blons? good explanation how

creators boving bias

-increase wealth gap  kould've hadi

a better justification )
","找體
86","hot spearying haw.

easil .
y good gpening increases Seconomy
res BRe - accuracy of | production
ala
Po, out -heave rep. things to Al Callows
for mere
relevance

-have opportunities ,

; creativity
of Waith 12nd_ werkomical revolution)

-example of medical use
Aap

-good POI! of infinite possitatities of

do ""the us. | to temohers & 2nd _ ab specified
de if -goodresponseto availability battwares
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page28\result.json
"08
за","Needi8o

Pauses
whyloendearninfyorhumanisolationandackéfidividuality

hann | getthepointbut it needsto belaid out irrelationto

yourhumancentriccase

Efficiency &qualitygoo@aintWouldlike more elabrationon
hathumans - ,
w sare bettethan Al inspecific applications

Crux : Human foused. Cald have been moreprestaltclear

On OF
","wherebuttinghpuilding

Neyecontactpon'tay yousaid"" ty ""side stated""
Gronpainbboubbartiveteedbackoopw Al""
Lesskauson bras as we'veconcededthat botthumanand

At Fn nas Nowassammptioniat Alhasnyflaws haslreadpeen
* defeated, pp

OveralJneedmorethuidityanda clearer ndindatase
","THBT the increase in usage
of artificial intelligence in the workforce has a
OF","but hard to Seédverall

Loks atindividuaPrints
contentions anccase.
Makenoneyecontact

| like thechumanismangle but itneedsto be tied to

the thedebate. Howis AZmtgivingmet benefit’?

2nd_ half somewhat repetitive

No specific rebattals! Thatmakestheircasseem

muChetronger
","76
18","First : Less""I think"", Lookatmand &keejmands

w .
P innaturapositionin future .

Assumesthat Al igutomaticallyettertharnumors

Lanyouprove that ?

004USe ofxamples

Finalisstondgeisaneelbsgipperglope Lotsofneta ngs
thatiidnaddanythingrusonjuturenuckto berouglitim
topimore Fowsmoreorargumeni#readymade
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page29\result.json
"F18
bt","good

Work

good

good

arguments

in organizati
speaking Vou

tact
eye ona
","needs organyatun

Good speakin voue
good pace

delivered with

convection
",ABOLISH STUDENT LOAN DEBT,"Well argued

promoting

too
many

assertions

abort

equality

unsupports

good

a tima
","81
£3","well organized but

Sometimes illogical

nice tone of vouce

Keep eye contact with
judge

138
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page30\result.json
"98
58","- Siguposting from startegreers peints
°Spectfic exanoplevesponse to por v

- Glas _ ofation creangle wat very clear also

swall V. lauge businesses when everyyou Car

. Al
-Conscious Al > work force ? ve

-Doc't put the wawy minds thing, not sure Pop
","nection ‘te

wedern ern

in terms j i
of job creation towiname

-  Cucativity print v countries & work

- Don't — adsuit
it fe losing middle class just
, somn

- Move sigayor ting at start but later good viste

(wundic des Creativity

_ GQQq ispeciting Syaryples
","11) THBT the inawass in usage of artificial intelligence in the work
increase","-Pol headed

affirmative con -

-Opcer With 9n
tention
“Wanited siguposting

- oz short
","19
81","- Siyapostingang Decent Po ((ume

- Like Ales atoo as accurter Vv Vv

- Would've likalporifineconnection joture econ

; SOc
Worted a crux in first ¢€

_- Crux achieved in Finalv like the

; but ,
-Medial print felt strong fuel print about

work to
Iffe  affer letter plesala_ cit
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page4\result.json
"bt
9t","POI should be in the form of a
questin

- separate nefutations from

rebuilding

i sections:
- good synprity between

but need structure within secton

-short spach with abrupt conclusion

( 5 =00)
","-good intoration and_ flow

eye contact with judi

-increase
Signposted refutation and constructive Case
as a whole but need more organization.

wither i
each sectionon huymous and Al

- good pont about you
can work together

- don't caise po Is  dury protected time
","THBT the
increase in usare of AI has
G
not benefit","good eye contact

need signposting and organization
of points

2:48 )
-vey shirt speech

of
refutations government

Points
","tt
ht","‘good eye contact

need to signpost your speech

and number Carstractie
Your

pants
e uixe of Al

_gord examples of positi
-short first speech ( 3:39 )
- last speek  satuantly overtime

( 3:35 )
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page6\result.json
"ㄱㄱ
ya","-Lots of swaying in speech

-Only 5:52 of 8:00

-Some help Ful points about

private
Sector , though argument about
lobotol : i
innovative
thought problematic
-Did not include a

clash

in final part of  Jebate
","- Relatively good Eye Contact
-only 4:58 of 98:00
~Did try to focus on"" net benefit ""
of profit
-Developed main contentions.

included some _ hepful analogics

IS -Missing depth in rebuttals
TAGOV'T = fin wa ary
",THBT the increases in usage of AI in the workforce has,"-Well - organized speech
-NO EYE Contact

-Good __ rebuttal
-Only used 4:08 of 8:00

- Asked POI

-Quality of arguments inconsist

-Abrupt ending
","SI
78","-Argumentation not strong.
Limited
rationale * Pace could be improved

to include all 3 constructive

points (instead of saving 1-2 for
M<)
and speech : Ist part simply.
restated argument, &nd did try to weigh
the 2 sides of the debate N
po
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page7\result.json
"84
82","-good readmapping

that failed taaddres
- emphasis ©"" points gov

i nta
- good real-world examples on biesest de
“could have connected liability to responsibility

and
ack of accountability |

1 more
world
weighing and

especially to fill time

impacting ,

at the end
what does_ Side gov's world |ooklike incomparison
","-  refutations weren't
completely

clear and don't directly address points

- failed connect some_- contentions .

in response to refutations by amCIE a

-Panses for emphasis, good speaking speed

F good eye contact

| * :
could have done some weighing fill time

7:22
","THBT the increase in
usage of artificial intelligence in the workforce has net","-good_ framing and beairmina
Speech

good refutatrens on

arguing for a just future

_ signposting weis 4°""

7 examples didn't Seem to

contentions
correctly reflect the

clearly .

of
","98
ts","-good eye contact

- good constructive of

away fronnewodadagy

not shying

hap Contentions seemed a ttle
overlapped

could have benefitted frorastablishing

a more solid frameworki.e.

3:35  moreweighing & world utilitarianism

3:07 with Comparison
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page8\result.json
"ㄱㄲ
76","egood exemples & | synthesis

[Imyadvice to you would be to track the speech /

debote its entirety to find the

arguments that at felly fundamental to

Youropponent'sargument

&your examples cre not independent 'deas :

Attach them to contentions .
","8000 voice
style: 1 just wish you spoke for longer &gaveme

more oralysis to yote on.

*homergumentin more the IVET and the

workforce, instead of tentative exongoles

si liked your customerservice & opportunity idea,

expendon it and impacts.
",THBT the increase of AI usage in the work force,"good spnithesisof your opponent's points ,

but ( aoe these lost’ w/ your own

contention)

uf
[e) . .
CUS on organization

&
voccent our contentions& avoid rabbit

holos
","79
82","sgoodspeeches? try to merrentyour
clains & explain to me wHY

ishould buy it

6 don't read from @ page, speak netreekly

&  frreed

good ideas! end with impacto
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page9\result.json
